key,values
Classification Model,"['Binomial Classification Data', 'Classification', 'Classification Model', 'Classification Trees', 'Data Classification', 'Facies Classification', 'Image Classification', 'Information Classification', 'Labor Classification', 'Malware Classification', 'Multinomial Classification Data', 'Neural Network Classification', 'Thai Digit Classification', 'Theory Classification']"
Advertising Policy,"['Ad Policy', 'Advertising Policy']"
Essential Commands,['Essential Commands']
Self Learning MS Form from SharePoint Groups,['Self Learning MS Form from SharePoint Groups']
Source Materials,['Source Materials']
Create technical diagrams,['Create technical diagrams']
Task Automation,['Task Automation']
Next Generation,['Next Generation']
Mixin,['Mixin']
Regression Model Application,['Regression Model Application']
Apache PySpark,"['Apache Spark', 'PySpark', 'PySpark Script', 'Spark', 'Spark Streaming', 'Sparkline']"
Bill,['Bill']
Ad Campaign Progress,['Ad Campaign Progress']
Biocatalysis,['Biocatalysis']
Test Script,"['Running Test Script', 'Test Script', 'Test Script Writing', 'Writing Test Script', 'Writing Test Scripts']"
Plugin Electric Vehicles (PEV),['Plugin Electric Vehicles (PEV)']
Process of examining data,['Process of examining data']
Persona,['Persona']
Pseudo Code,['Pseudo Code']
LIFF (LINE Scheme),['LIFF (LINE Scheme)']
Consumer Segment,['Consumer Segment']
Regular CapCut User,['Regular CapCut User']
Matplotlib Samples to Remember,['Matplotlib Samples to Remember']
ActiveLearning Exercises,['ActiveLearning Exercises']
Test Report,"['Test Report', 'Test Result Report', 'Test Report Example']"
Designing Solutions,['Designing Solutions']
LifeCycle Analysis,['LifeCycle Analysis']
Labeling Bottles,['Labeling Bottles']
Dependency Inversion Principle,['Dependency Inversion Principle']
Comprehensive Process Coverage,['Comprehensive Process Coverage']
npm,['npm']
Test Driven Design,['Test Driven Design']
MoveIt!,['MoveIt!']
Customer Grouping,['Customer Grouping']
Sales Strategies,['Sales Strategies']
Date & Time,"['Date & Time', 'datetime']"
Networking,"['Artificial Neural Network', 'Artificial Neural Networks', 'Azure Virtual Networks', 'Bayesian Network Classifiers', 'Bayesian Networks', 'Belief Networks', 'Building Secure Wireless Networks', 'Causal Bayesian Networks', 'Communications Networks', 'Computer Network', 'Computer Networks', 'Daily Networking Operations', 'Generative Adversarial Networks', 'Local Area Networking', 'Mobile Networks', 'Network', 'Network Knowledge', 'Network System', 'Networking', 'Networking And Content Delivery Services', 'Networking Knowledge', 'Networks', 'Neural Nets', 'Neural Network', 'Neural Networks', 'ObjectOriented Bayesian Networks', 'Online criminal networks', 'Project Manager Networking', 'Securing local networks', 'Social Networks', 'SoftwareDefined Networking (SDN)', 'Virtual Private Networks (VPN)', 'WideArea Networking', 'Wired Networking', 'Wireless Networking', 'Wireless Networks and Devices', 'Wireless Sensor Networks (WSN)']"
TikTok Application,['TikTok Application']
Audience Setting,['Audience Setting']
PCA,['PCA']
Generative Models,"['Generative Modeling', 'Generative Models']"
Manmade Process,['Manmade Process']
Identifying Key Strengths,['Identifying Key Strengths']
Competitive Advantage,['Competitive Advantage']
Vendor Evaluation,['Vendor Evaluation']
Communication Protocol,['Communication Protocol']
DCS,['DCS']
Visual Merchandiser,['Visual Merchandiser']
Service Selection,['Service Selection']
Tax Return,['Tax Return']
Exclusive Groups,['Exclusive Groups']
Politics,['Politics']
DevSecOps Maturity,['DevSecOps Maturity']
Maintain Equipment,"['Maintain Equipment', 'equipment maintenance', 'equipment maintenance', 'equipment maintenance', 'equipment maintenance', 'Equipment maintenance', 'equipment maintenance']"
Real Artwork,['Real Artwork']
Public Health,['Public Health']
Batch Data,['Batch Data']
Counting Inversion (Algorithm Method),['Counting Inversion (Algorithm Method)']
Automated Work Cell,['Automated Work Cell']
Risk Assessment Methodologies,['Risk Assessment Methodologies']
Purchase Order,['Purchase Order']
Microcopy Canvas,['Microcopy Canvas']
Take Orders,['Take Orders']
Pose,['Pose']
Successful Community Strategies,['Successful Community Strategies']
System Analyst Tools,"['System Analysis Tools', 'System Analyst Tools']"
Bayesian Decision Theory,['Bayesian Decision Theory']
Project Goals,['Project Goals']
Recording Test Script,"['Record Test Scripts', 'Recording Test Script']"
Hazardous Material Management,['Hazardous Material Management']
Social Mobility,['Social Mobility']
Change Password,['Change Password']
CostEffective Broadcast,['CostEffective Broadcast']
Modeling approach,['Modeling approach']
Lightweight Software,['Lightweight Software']
Perception,['Perception']
Responsive Display,['Responsive Display']
Target Audience Criteria,['Target Audience Criteria']
Metadata,['Metadata']
ROS,"['Advanced features of ROS', 'ROS', 'ROS 2', 'ROS Expertise', 'ROS Fundamentals', 'ROS Libraries', 'ROS Tools', 'ROS application', 'ROSbased Applications']"
Privacy Compliance,['Privacy Compliance']
Privacy & Law Knowledge,['Privacy & Law Knowledge']
Boolean Statements,['Boolean Statements']
Transactional Law,['Transactional Law']
Semiotic Analysis,['Semiotic Analysis']
Knowledge Application,['Knowledge Application']
Data Consistency,"['Data Consistency', 'Managing Data Consistency']"
Pseudoclass,['Pseudoclass']
App Store,['App Store']
Defining Interface,['Defining Interface']
Conceptual Structure,['Conceptual Structure']
Security Controls,"['Security Control', 'Security Controls']"
Pharmaceutical Products,['Pharmaceutical Products']
Children’s Development,"['Child Development', 'Children’s Development']"
Repayment Requirements,['Repayment Requirements']
Sales Strategy Development,['Sales Strategy Development']
Sparsity,['Sparsity']
Repetition,['Repetition']
Notification of Schedules,['Notification of Schedules']
YouTube Ads Setup,['YouTube Ads Setup']
Phase Transitions,"['Phase Change', 'Phase Transitions']"
Engaging Slides,['Engaging Slides']
Shadow Puppet,['Shadow Puppet']
Batch Update,['Batch Update']
Feedback,"['Collecting Feedback', 'Feedback', 'Giving Feedback', 'Receiving Feedback']"
Applying Data Analytic,['Applying Data Analytic']
Geography,['Geography']
User Problem Discovery,['User Problem Discovery']
Review Questions,['Review Questions']
Share Team Libraries,['Share Team Libraries']
Research Process,['Research Process']
Automatic Scale Adjustment,['Automatic Scale Adjustment']
Correlation,"['Correlation', 'Data Correlation']"
Quantitative Risk Analysis,['Quantitative Risk Analysis']
Deploy Firewall,['Deploy Firewall']
Template Creation,['Template Creation']
Fees,['Fees']
Display Mode,['Display Mode']
Inspecting a Web Page,['Inspecting a Web Page']
Data Governance Frameworks,"['Governance Framework Design', 'Data Governance Frameworks']"
Numbering Functions,['Numbering Functions']
Grammar Correction,['Grammar Correction']
Building Data Culture,['Building Data Culture']
Ethical Necessity,['Ethical Necessity']
Low Code tools,"['Low Code tools', 'Low Code']"
Static,"['Static', 'Static Field']"
Enhance,['Enhance']
Quaternions,['Quaternions']
Arraybased Computing,['Arraybased Computing']
Request for goods or services,['Request for goods or services']
Content Character,['Content Character']
Handle Complaints,['Handle Complaints']
Spreadsheet Functionality,"['Spreadsheet Functionality', 'spreadsheet management']"
Data Collection,"['Collect Data', 'Data Collection', 'Data Gathering']"
Securing Operations,['Securing Operations']
Negative Interest Rates,['Negative Interest Rates']
Linguistic Annotation Framework,['Linguistic Annotation Framework']
Regulatory Issues,['Regulatory Issues']
Effective Scope Controlling,['Effective Scope Controlling']
Dynamic Array Formulas,"['Dynamic Array Calculation', 'Dynamic Array Formulas']"
FutureSkill,"['FutureSkill', 'Futureskill Platform']"
Generative AI,"['AI-powered Content Strategy','Generative AI Tools (text/image/video)','Applying Generative AI', 'Generative AI', 'Generative AI Application']"
Pearson eText,['Pearson eText']
Discontentment,['Discontentment']
Data in Dictionary,"['Data Dictionary', 'Data in Dictionary']"
Remediation Projects,['Remediation Projects']
echo,['echo']
Deep Learning,"['Deep Learning', 'Deep Learning Model', 'Deep Learning Networks', 'Deep Network', 'Deep Networks', 'Deep Neural Networks']"
Scheduling of program activities,['Scheduling of program activities']
Fulfillment,['Fulfillment']
Wildcard Match,['Wildcard Match']
EngineeringOriented Solutions,['EngineeringOriented Solutions']
Supplier relationships,"['Supplier relationships', 'Supplier Relationship Management']"
Hand Tools,"['Hand Tools', 'Use of hand and power tools']"
Ad Purchase,['Ad Purchase']
Health Visitor,"['Health Visitor', 'Health visitor']"
Targeted Training,['Targeted Training']
Education Technology,['Education Technology']
Using Functions,['Using Functions']
Endpoint Risk,['Endpoint Risk']
Deploy MongoDB with Helm,['Deploy MongoDB with Helm']
CompTIA Cloud+,['CompTIA Cloud+']
Window.navigator,['Window.navigator']
Pricing,"['Pricing', 'Pricing Analysis']"
Evaluate,['Evaluate']
User Support,['User Support']
Civil Service Training Programme,['Civil Service Training Programme']
Track Schedules,['Track Schedules']
Identification of Cognitive Biases,['Identification of Cognitive Biases']
Electrical Substations,['Electrical Substations']
Visual Communication,['Visual Communication']
Row sorting,"['Descending row sorting', 'Row sorting']"
Operational Excellence,"['Operational Excellence', 'Operational excellence']"
Impact,['Impact']
Brush Usage,['Brush Usage']
Result Viewing,['Result Viewing']
Process & Summary of Negotiation,['Process & Summary of Negotiation']
Dimensional Design,['Dimensional Design']
Simulation Environment,['Simulation Environment']
Greeting Visitors,"['Greet Visitors', 'Greet and Direct Visitors', 'Greeting Guests', 'Greeting Visitors']"
Personal Consult,['Personal Consult']
Sales Targets,"['Meet Sales Targets', 'Meeting sales goals', 'Sales Targets']"
Perspective Objects,['Perspective Objects']
Selecting,['Selecting']
COALESCE,['COALESCE']
JBIG 2,['JBIG 2']
Fix Robots,['Fix Robots']
Element Creation,['Element Creation']
Accessibility Design,['Accessibility Design']
Complex Measurements,['Complex Measurements']
let,['let']
Sports Events,['Sports Events']
Private Cloud,['Private Cloud']
Persuasive Pitching,['Persuasive Pitching']
Resource Reallocation,"['Resource Allocation', 'Resource Reallocation']"
Wireframing,['Wireframing']
Technology ComputerAided Design (TCAD),['Technology ComputerAided Design (TCAD)']
Nested routes,['Nested routes']
Robotics,"['Build Robots', 'Robotics Literacy']"
Image Editing,"['Image Editing', 'Image Editor']"
Problem Statement,['Problem Statement']
International Standard,['International Standard']
Assessment of knowledge,['Assessment of knowledge']
Quality Assurance (QA),"['AIAssisted QA', 'Automation QA Tester', 'Become Automation QA Tester', 'Manual QA Tester', 'QA', 'QA Content', 'QA Engineer', 'QA Responsibilities', 'QA Skills', 'Quality Assurance (QA)']"
Community Data Analysis,['Community Data Analysis']
Working with Layers,['Working with Layers']
Normalized Data,"['Data Normalization', 'Normalized Data']"
Financial Advice,['Financial Advice']
Performance Analysis,"['Performance Analysis', 'Performance evaluations']"
Customer Needs Identification,['Customer Needs Identification']
Groundbreaking Results,['Groundbreaking Results']
Font Selection,['Font Selection']
Account Creation,['Account Creation']
Write Notes,['Write Notes']
Civil Servant,['Civil Servant']
Economic Order Quantity (EOQ),['Economic Order Quantity (EOQ)']
Serve as liaison,['Serve as liaison']
Filtered Pivot Table,['Filtered Pivot Table']
Description,"['Description', 'Descriptions']"
Work Automation,['Work Automation']
InApp Purchase Model,['InApp Purchase Model']
Human Centric,['Human Centric']
Microsoft Excel,"['Excel', 'Microsoft Excel']"
Range,['Range']
Seamless Processes,['Seamless Processes']
Desktop Flow,['Desktop Flow']
Team Charter,['Team Charter']
Appium,['Appium']
Enterprise Mashups,['Enterprise Mashups']
Graphic Version,['Graphic Version']
Time Spent Online,['Time Spent Online']
Code Minimization,['Code Minimization']
Concrete Examples,['Concrete Examples']
Web Deployment,"['Web Application Deployment', 'Web Deployment']"
Minimize MainThread Work,['Minimize MainThread Work']
